Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,corr_n_points,corr_tau50_s,corr_tau20_s,corr_auc_logx,corr_initial_slope_logx,corr_y_start,corr_y_end
L_3S-1mg_mL 1,L_3S-1mg_mL,water,lambda,1 mg/mL,1.0,192,2032.2849861922296,5822.765857798588,3.520641071829402,-0.004233399745838297,0.892,0.0
L_3S-1mg_mL 2,L_3S-1mg_mL,water,lambda,1 mg/mL,2.0,192,2132.6795287159334,8076.700661846723,3.5887387346932487,-0.004650357299351221,0.908,0.0
L_3S-1mg_mL 3,L_3S-1mg_mL,water,lambda,1 mg/mL,3.0,192,1758.7841546584602,5857.663020917024,3.4402998722118463,-0.0042661505107259795,0.833,0.0
L_3S-1mg_mL-mean,,,,,,192,2032.2849861922296,5822.765857798588,3.520641071829402,-0.004233399745838297,0.892,0.0
L_3S-35ug_mL 1,L_3S-35ug_mL,water,lambda,35 ug/mL,1.0,192,1373.3728261534552,38814.13943070888,3.568301913077366,-0.013397941051790797,0.666,0.0
L_3S-35ug_mL 2,L_3S-35ug_mL,water,lambda,35 ug/mL,2.0,192,921.252489342798,3442.3550039214147,3.3552295211112684,-0.016328461575876325,0.583,0.0
L_3S-35ug_mL 3,L_3S-35ug_mL,water,lambda,35 ug/mL,3.0,192,796.3573318554934,2388.957984690659,3.191251491558812,-0.020311551824084728,0.471,0.0
L_3S-35ug_mL-mean,,,,,,192,1373.3728261534552,38814.13943070888,3.568301913077366,-0.013397941051790797,0.666,0.0
aMEM-Ctrl 1,aMEM-Ctrl,medium,,,1.0,192,9168.515536516436,63896.93266406856,4.028026398382868,-0.046865069246040746,0.893,0.0
aMEM-Ctrl 2,aMEM-Ctrl,medium,,,2.0,192,542.5184872926591,1618.230501011975,3.1414085765830664,-0.1005996822931445,0.358,0.0
aMEM-Ctrl 3,aMEM-Ctrl,medium,,,3.0,192,876.5510752131041,4666.1580928395015,3.349639572508852,-0.08050687631556491,0.329,0.0
aMEM-Ctrl-mean,,,,,,192,9168.515536516436,63896.93266406856,4.028026398382868,-0.046865069246040746,0.893,0.0
aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,medium,,,1.0,192,21.667985579071754,61.94820765643282,1.6472077242348542,-0.17759506472840272,0.735,0.0
aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,medium,,,2.0,192,21.24003627968175,60.725825960074935,1.6377248999006433,-0.17246635412180036,0.732,0.0
aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,medium,,,3.0,192,21.287165727371672,61.180009821523676,1.642997364672091,-0.18059180679674056,0.731,0.0
aMEM_10pct-Ctrl-mean,,,,,,192,21.667985579071754,61.94820765643282,1.6472077242348542,-0.17759506472840272,0.735,0.0
aMEM_10pct-L_3s 1,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,1.0,192,30.503349648796245,102.3113415621181,1.7921412125496456,-0.13114147249897265,0.824,0.0
aMEM_10pct-L_3s 2,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,2.0,192,30.702000697699212,102.29134627520082,1.7925907350535981,-0.13379963945025394,0.83,0.0
