sample_base,carrageenan,matrix,point_index,delay_time_mean,corr_mean,corr_std,n
L_3S-1mg_mL,lambda,water,1,0.5,0.872,0.03915354390090382,3
L_3S-1mg_mL,lambda,water,2,1.0,0.882,0.03915354390090382,3
L_3S-1mg_mL,lambda,water,3,1.5,0.879,0.0379868398264452,3
L_3S-1mg_mL,lambda,water,4,2.0,0.8786666666666667,0.04163331998932271,3
L_3S-1mg_mL,lambda,water,5,2.5,0.875,0.037242448899072175,3
L_3S-1mg_mL,lambda,water,6,3.0,0.876,0.03939543120718445,3
L_3S-1mg_mL,lambda,water,7,3.5,0.8756666666666666,0.037806525010020915,3
L_3S-1mg_mL,lambda,water,8,4.0,0.8733333333333334,0.0374210279566628,3
L_3S-1mg_mL,lambda,water,9,4.5,0.8729999999999999,0.03988734135035829,3
L_3S-1mg_mL,lambda,water,10,5.5,0.8713333333333333,0.039551653989856536,3
L_3S-1mg_mL,lambda,water,11,6.5,0.8676666666666666,0.03950105483823612,3
L_3S-1mg_mL,lambda,water,12,7.5,0.868,0.04036087214122118,3
L_3S-1mg_mL,lambda,water,13,8.5,0.8666666666666667,0.038552993831002774,3
L_3S-1mg_mL,lambda,water,14,9.5,0.8663333333333334,0.04027819923151152,3
L_3S-1mg_mL,lambda,water,15,10.5,0.8643333333333333,0.03932344508474988,3
L_3S-1mg_mL,lambda,water,16,11.5,0.8626666666666667,0.03995414037785493,3
L_3S-1mg_mL,lambda,water,17,12.5,0.8626666666666667,0.040673496694202886,3
L_3S-1mg_mL,lambda,water,18,14.5,0.8596666666666666,0.04045161719058137,3
L_3S-1mg_mL,lambda,water,19,16.5,0.858,0.039887341350358305,3
L_3S-1mg_mL,lambda,water,20,18.5,0.8553333333333333,0.040278199231511484,3
L_3S-1mg_mL,lambda,water,21,20.5,0.8543333333333334,0.04006661120351124,3
L_3S-1mg_mL,lambda,water,22,22.5,0.8523333333333333,0.04006661120351124,3
L_3S-1mg_mL,lambda,water,23,24.5,0.85,0.03988734135035828,3
L_3S-1mg_mL,lambda,water,24,26.5,0.8490000000000001,0.04063249930782004,3
L_3S-1mg_mL,lambda,water,25,28.5,0.8473333333333333,0.0410162569395762,3
L_3S-1mg_mL,lambda,water,26,32.5,0.844,0.04063249930782004,3
L_3S-1mg_mL,lambda,water,27,36.5,0.84,0.04063249930782004,3
L_3S-1mg_mL,lambda,water,28,40.5,0.8376666666666667,0.041198705481280976,3
L_3S-1mg_mL,lambda,water,29,44.5,0.835,0.04063249930782004,3
L_3S-1mg_mL,lambda,water,30,48.5,0.832,0.041218927691049845,3
L_3S-1mg_mL,lambda,water,31,52.5,0.8296666666666667,0.041198705481280976,3
L_3S-1mg_mL,lambda,water,32,56.5,0.8266666666666667,0.042146569650842666,3
L_3S-1mg_mL,lambda,water,33,60.5,0.8243333333333333,0.04082074635933703,3
L_3S-1mg_mL,lambda,water,34,68.5,0.8193333333333334,0.0408207463593371,3
L_3S-1mg_mL,lambda,water,35,76.5,0.8143333333333334,0.04176521678781678,3
L_3S-1mg_mL,lambda,water,36,84.5,0.8099999999999999,0.04233202097703341,3
L_3S-1mg_mL,lambda,water,37,92.5,0.806,0.043092922852830506,3
L_3S-1mg_mL,lambda,water,38,101.0,0.8016666666666666,0.04195632649950816,3
L_3S-1mg_mL,lambda,water,39,109.0,0.7973333333333333,0.04252450274057684,3
L_3S-1mg_mL,lambda,water,40,117.0,0.7936666666666667,0.04272391992003235,3
L_3S-1mg_mL,lambda,water,41,125.0,0.79,0.0430929228528305,3
L_3S-1mg_mL,lambda,water,42,141.0,0.7833333333333333,0.043293571501244084,3
L_3S-1mg_mL,lambda,water,43,157.0,0.7760000000000001,0.04386342439892266,3
L_3S-1mg_mL,lambda,water,44,173.0,0.7696666666666667,0.04350095784386055,3
L_3S-1mg_mL,lambda,water,45,189.0,0.7636666666666666,0.04350095784386055,3
L_3S-1mg_mL,lambda,water,46,205.0,0.7573333333333334,0.04407191093353378,3
L_3S-1mg_mL,lambda,water,47,221.0,0.7513333333333333,0.04407191093353378,3
L_3S-1mg_mL,lambda,water,48,237.0,0.7463333333333333,0.04407191093353385,3
L_3S-1mg_mL,lambda,water,49,253.0,0.7403333333333334,0.04407191093353385,3
L_3S-1mg_mL,lambda,water,50,285.0,0.73,0.04464302857109945,3
L_3S-1mg_mL,lambda,water,51,317.0,0.7200000000000001,0.04464302857109945,3
L_3S-1mg_mL,lambda,water,52,349.0,0.711,0.04543126676640215,3
L_3S-1mg_mL,lambda,water,53,381.0,0.702,0.04543126676640215,3
L_3S-1mg_mL,lambda,water,54,413.0,0.6933333333333334,0.04485903847981288,3
L_3S-1mg_mL,lambda,water,55,445.0,0.6849999999999999,0.04543126676640215,3
L_3S-1mg_mL,lambda,water,56,477.0,0.6769999999999999,0.04543126676640215,3
L_3S-1mg_mL,lambda,water,57,509.0,0.6693333333333333,0.04565449959569521,3
L_3S-1mg_mL,lambda,water,58,573.0,0.655,0.046227697325304906,3
L_3S-1mg_mL,lambda,water,59,637.0,0.641,0.046227697325304906,3
L_3S-1mg_mL,lambda,water,60,701.0,0.6276666666666667,0.04588391148685276,3
L_3S-1mg_mL,lambda,water,61,765.0,0.6150000000000001,0.04622769732530483,3
L_3S-1mg_mL,lambda,water,62,829.0,0.6030000000000001,0.04622769732530483,3
L_3S-1mg_mL,lambda,water,63,893.0,0.5916666666666667,0.045883911486852676,3
L_3S-1mg_mL,lambda,water,64,957.0,0.5803333333333334,0.04565449959569521,3
L_3S-1mg_mL,lambda,water,65,1020.0,0.57,0.046227697325304906,3
L_3S-1mg_mL,lambda,water,66,1150.0,0.5493333333333333,0.04565449959569513,3
L_3S-1mg_mL,lambda,water,67,1280.0,0.53,0.04543126676640223,3
L_3S-1mg_mL,lambda,water,68,1400.0,0.512,0.04464302857109944,3
L_3S-1mg_mL,lambda,water,69,1530.0,0.49433333333333335,0.04407191093353381,3
L_3S-1mg_mL,lambda,water,70,1660.0,0.4776666666666667,0.04366157731156001,3
L_3S-1mg_mL,lambda,water,71,1790.0,0.46166666666666667,0.04289910643980052,3
L_3S-1mg_mL,lambda,water,72,1920.0,0.4463333333333333,0.04196824196143234,3
L_3S-1mg_mL,lambda,water,73,2040.0,0.43133333333333335,0.04123509831846329,3
L_3S-1mg_mL,lambda,water,74,2300.0,0.40399999999999997,0.03966106403010388,3
L_3S-1mg_mL,lambda,water,75,2560.0,0.37833333333333335,0.03873413653785676,3
L_3S-1mg_mL,lambda,water,76,2810.0,0.35533333333333333,0.038436094147732205,3
L_3S-1mg_mL,lambda,water,77,3070.0,0.3333333333333333,0.03763420430052073,3
L_3S-1mg_mL,lambda,water,78,3320.0,0.3136666666666667,0.037018013633004845,3
L_3S-1mg_mL,lambda,water,79,3580.0,0.296,0.037,3
L_3S-1mg_mL,lambda,water,80,3840.0,0.28,0.03604164258188019,3
L_3S-1mg_mL,lambda,water,81,4090.0,0.26533333333333337,0.03611555528208492,3
L_3S-1mg_mL,lambda,water,82,4600.0,0.23966666666666667,0.03579571668975681,3
L_3S-1mg_mL,lambda,water,83,5120.0,0.21799999999999997,0.03555277766926236,3
L_3S-1mg_mL,lambda,water,84,5630.0,0.19966666666666666,0.03629508690350987,3
L_3S-1mg_mL,lambda,water,85,6140.0,0.18466666666666667,0.03693688310257558,3
L_3S-1mg_mL,lambda,water,86,6650.0,0.171,0.0375099986670221,3
L_3S-1mg_mL,lambda,water,87,7160.0,0.15933333333333333,0.03808324215889889,3
L_3S-1mg_mL,lambda,water,88,7680.0,0.14833333333333334,0.037287173844813365,3
L_3S-1mg_mL,lambda,water,89,8190.0,0.13833333333333334,0.0355715241918776,3
L_3S-1mg_mL,lambda,water,90,9210.0,0.12163333333333333,0.03275215005665023,3
L_3S-1mg_mL,lambda,water,91,10200.0,0.10886666666666667,0.030993117515560335,3
L_3S-1mg_mL,lambda,water,92,11300.0,0.0979,0.027056792123235897,3
L_3S-1mg_mL,lambda,water,93,12300.0,0.08900000000000001,0.024438698819699876,3
L_3S-1mg_mL,lambda,water,94,13300.0,0.08156666666666666,0.02445001704157552,3
L_3S-1mg_mL,lambda,water,95,14300.0,0.07576666666666666,0.025144847053289735,3
L_3S-1mg_mL,lambda,water,96,15400.0,0.07110000000000001,0.02486744860254063,3
L_3S-1mg_mL,lambda,water,97,16400.0,0.06643333333333333,0.025101659971669868,3
L_3S-1mg_mL,lambda,water,98,18400.0,0.05923333333333333,0.024857661461475684,3
L_3S-1mg_mL,lambda,water,99,20500.0,0.0557,0.02449428504774124,3
L_3S-1mg_mL,lambda,water,100,22500.0,0.05343333333333333,0.0252123646914234,3
L_3S-1mg_mL,lambda,water,101,24600.0,0.05106666666666667,0.025740499865646225,3
L_3S-1mg_mL,lambda,water,102,26600.0,0.0469,0.023208403650402155,3
L_3S-1mg_mL,lambda,water,103,28700.0,0.042733333333333325,0.01923573064204563,3
L_3S-1mg_mL,lambda,water,104,30700.0,0.04066666666666666,0.018551639640024636,3
L_3S-1mg_mL,lambda,water,105,32800.0,0.041,0.019378338422062918,3
L_3S-1mg_mL,lambda,water,106,36900.0,0.043833333333333335,0.020182748408810267,3
L_3S-1mg_mL,lambda,water,107,41000.0,0.044199999999999996,0.022058331759224222,3
L_3S-1mg_mL,lambda,water,108,45100.0,0.04446666666666666,0.02469257648228174,3
L_3S-1mg_mL,lambda,water,109,49100.0,0.04326666666666667,0.027767306915387622,3
L_3S-1mg_mL,lambda,water,110,53200.0,0.04323333333333334,0.02661603526698395,3
L_3S-1mg_mL,lambda,water,111,57300.0,0.038766666666666665,0.025888671911346348,3
L_3S-1mg_mL,lambda,water,112,61400.0,0.03598333333333333,0.02379550027491192,3
L_3S-1mg_mL,lambda,water,113,65500.0,0.03546,0.022561312018586153,3
L_3S-1mg_mL,lambda,water,114,73700.0,0.0357,0.02229192678975956,3
L_3S-1mg_mL,lambda,water,115,81900.0,0.034,0.022829586067206736,3
L_3S-1mg_mL,lambda,water,116,90100.0,0.02857,0.02125678009483092,3
L_3S-1mg_mL,lambda,water,117,98300.0,0.0253,0.019163506985935535,3
L_3S-1mg_mL,lambda,water,118,106000.0,0.025793333333333335,0.02381113465027094,3
L_3S-1mg_mL,lambda,water,119,115000.0,0.025846666666666667,0.023300483542908142,3
L_3S-1mg_mL,lambda,water,120,123000.0,0.02255666666666667,0.020651310692867252,3
L_3S-1mg_mL,lambda,water,121,131000.0,0.02070666666666667,0.018827855250488128,3
L_3S-1mg_mL,lambda,water,122,147000.0,0.019466666666666667,0.016656930489538983,3
L_3S-1mg_mL,lambda,water,123,164000.0,0.020223333333333333,0.01874237533860992,3
L_3S-1mg_mL,lambda,water,124,180000.0,0.016585666666666665,0.020385922013324127,3
L_3S-1mg_mL,lambda,water,125,197000.0,0.014296666666666668,0.015561234955276955,3
L_3S-1mg_mL,lambda,water,126,213000.0,0.014899999999999998,0.013671503209230504,3
L_3S-1mg_mL,lambda,water,127,229000.0,0.015531666666666668,0.015601843106932379,3
L_3S-1mg_mL,lambda,water,128,246000.0,0.015509999999999998,0.011912862796154415,3
L_3S-1mg_mL,lambda,water,129,262000.0,0.012396666666666667,0.011216908367876298,3
L_3S-1mg_mL,lambda,water,130,295000.0,0.01128,0.01157733561748989,3
L_3S-1mg_mL,lambda,water,131,328000.0,0.011246666666666667,0.006951297241043095,3
L_3S-1mg_mL,lambda,water,132,360000.0,0.01341,0.010383703578203684,3
L_3S-1mg_mL,lambda,water,133,393000.0,0.01026,0.005063279569607035,3
L_3S-1mg_mL,lambda,water,134,426000.0,0.008126666666666666,0.004748908646555894,3
L_3S-1mg_mL,lambda,water,135,459000.0,0.008146666666666668,0.0031745918372813433,3
L_3S-1mg_mL,lambda,water,136,492000.0,0.005150000000000001,0.0010653168542738823,3
L_3S-1mg_mL,lambda,water,137,524000.0,0.006663333333333334,0.00236715722615405,3
L_3S-1mg_mL,lambda,water,138,590000.0,0.006083333333333334,0.0029528686617141197,3
L_3S-1mg_mL,lambda,water,139,655000.0,0.0053033333333333335,0.0030238110611169695,3
L_3S-1mg_mL,lambda,water,140,721000.0,0.0027533333333333333,0.002066938154211038,3
L_3S-1mg_mL,lambda,water,141,786000.0,0.002312666666666667,0.0032800380079098675,3
L_3S-1mg_mL,lambda,water,142,852000.0,0.003796666666666667,0.0023312085563787148,3
L_3S-1mg_mL,lambda,water,143,918000.0,0.0029966666666666666,0.001630040899282387,3
L_3S-1mg_mL,lambda,water,144,983000.0,0.004073333333333333,0.0014233879770931513,3
L_3S-1mg_mL,lambda,water,145,1050000.0,0.00344,0.0035169731304063156,3
L_3S-1mg_mL,lambda,water,146,1180000.0,0.00398,0.0029689055222421614,3
L_3S-1mg_mL,lambda,water,147,1310000.0,0.00413,0.0029141722666994135,3
L_3S-1mg_mL,lambda,water,148,1440000.0,0.004792,0.0035809233446137878,3
L_3S-1mg_mL,lambda,water,149,1570000.0,0.002813333333333333,0.0016096065771900078,3
L_3S-1mg_mL,lambda,water,150,1700000.0,0.002503333333333333,0.0010171692746703143,3
L_3S-1mg_mL,lambda,water,151,1840000.0,0.0023166666666666665,0.0020085401000063037,3
L_3S-1mg_mL,lambda,water,152,1970000.0,0.00324,0.0025557190768940156,3
L_3S-1mg_mL,lambda,water,153,2100000.0,0.00457,0.0024525700805481587,3
L_3S-1mg_mL,lambda,water,154,2360000.0,0.0023453333333333334,0.002119656890473865,3
L_3S-1mg_mL,lambda,water,155,2620000.0,0.003211,0.002683667825942697,3
L_3S-1mg_mL,lambda,water,156,2880000.0,0.004033333333333333,0.0015409196388304401,3
L_3S-1mg_mL,lambda,water,157,3150000.0,0.0032933333333333334,0.0007903374806583155,3
L_3S-1mg_mL,lambda,water,158,3410000.0,0.003576666666666667,0.0011809459485231885,3
L_3S-1mg_mL,lambda,water,159,3670000.0,0.003076,0.002374747986629318,3
L_3S-1mg_mL,lambda,water,160,3930000.0,0.0011193333333333333,0.0007202925331650559,3
L_3S-1mg_mL,lambda,water,161,4190000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,162,4720000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,163,5240000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,164,5770000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,165,6290000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,166,6820000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,167,7340000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,168,7860000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,169,8390000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,170,9440000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,171,10500000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,172,11500000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,173,12600000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,174,13600000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,175,14700000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,176,15700000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,177,16800000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,178,18900000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,179,21000000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,180,23100000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,181,25200000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,182,27300000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,183,29400000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,184,31500000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,185,33600000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,186,37700000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,187,41900000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,188,46100000.0,0.0,0.0,3
L_3S-1mg_mL,lambda,water,189,50300000.0,0.0,0.0,3
