Sample_Name,point_index,correlation_value,delay_time_s
k_1s-100ug_mL 1,1,0.0897,0.5
k_1s-100ug_mL 1,2,0.0946,1.0
k_1s-100ug_mL 1,3,0.0952,1.5
k_1s-100ug_mL 1,4,0.0967,2.0
k_1s-100ug_mL 1,5,0.0949,2.5
k_1s-100ug_mL 1,6,0.0957,3.0
k_1s-100ug_mL 1,7,0.0942,3.5
k_1s-100ug_mL 1,8,0.0951,4.0
k_1s-100ug_mL 1,9,0.0949,4.5
k_1s-100ug_mL 1,10,0.0943,5.5
k_1s-100ug_mL 1,11,0.0945,6.5
k_1s-100ug_mL 1,12,0.0935,7.5
k_1s-100ug_mL 1,13,0.094,8.5
k_1s-100ug_mL 1,14,0.0946,9.5
k_1s-100ug_mL 1,15,0.0942,10.5
k_1s-100ug_mL 1,16,0.094,11.5
k_1s-100ug_mL 1,17,0.0935,12.5
k_1s-100ug_mL 1,18,0.0928,14.5
k_1s-100ug_mL 1,19,0.0933,16.5
k_1s-100ug_mL 1,20,0.0931,18.5
k_1s-100ug_mL 1,21,0.0927,20.5
k_1s-100ug_mL 1,22,0.0924,22.5
k_1s-100ug_mL 1,23,0.0922,24.5
k_1s-100ug_mL 1,24,0.0918,26.5
k_1s-100ug_mL 1,25,0.0915,28.5
k_1s-100ug_mL 1,26,0.0909,32.5
k_1s-100ug_mL 1,27,0.0906,36.5
k_1s-100ug_mL 1,28,0.0902,40.5
k_1s-100ug_mL 1,29,0.0898,44.5
k_1s-100ug_mL 1,30,0.0891,48.5
k_1s-100ug_mL 1,31,0.0893,52.5
k_1s-100ug_mL 1,32,0.0886,56.5
k_1s-100ug_mL 1,33,0.0887,60.5
k_1s-100ug_mL 1,34,0.0878,68.5
k_1s-100ug_mL 1,35,0.0871,76.5
k_1s-100ug_mL 1,36,0.087,84.5
k_1s-100ug_mL 1,37,0.0863,92.5
k_1s-100ug_mL 1,38,0.0858,101.0
k_1s-100ug_mL 1,39,0.0852,109.0
k_1s-100ug_mL 1,40,0.0847,117.0
k_1s-100ug_mL 1,41,0.0842,125.0
k_1s-100ug_mL 1,42,0.0833,141.0
k_1s-100ug_mL 1,43,0.0827,157.0
k_1s-100ug_mL 1,44,0.0816,173.0
k_1s-100ug_mL 1,45,0.0808,189.0
k_1s-100ug_mL 1,46,0.08,205.0
k_1s-100ug_mL 1,47,0.0791,221.0
k_1s-100ug_mL 1,48,0.0784,237.0
k_1s-100ug_mL 1,49,0.0778,253.0
k_1s-100ug_mL 1,50,0.0766,285.0
k_1s-100ug_mL 1,51,0.0753,317.0
k_1s-100ug_mL 1,52,0.0741,349.0
k_1s-100ug_mL 1,53,0.0729,381.0
k_1s-100ug_mL 1,54,0.0718,413.0
k_1s-100ug_mL 1,55,0.0708,445.0
k_1s-100ug_mL 1,56,0.0697,477.0
k_1s-100ug_mL 1,57,0.0687,509.0
k_1s-100ug_mL 1,58,0.0669,573.0
k_1s-100ug_mL 1,59,0.0651,637.0
k_1s-100ug_mL 1,60,0.0634,701.0
k_1s-100ug_mL 1,61,0.0619,765.0
k_1s-100ug_mL 1,62,0.0603,829.0
k_1s-100ug_mL 1,63,0.0587,893.0
k_1s-100ug_mL 1,64,0.0574,957.0
k_1s-100ug_mL 1,65,0.0561,1020.0
k_1s-100ug_mL 1,66,0.0536,1150.0
k_1s-100ug_mL 1,67,0.0512,1280.0
k_1s-100ug_mL 1,68,0.049,1400.0
k_1s-100ug_mL 1,69,0.047,1530.0
k_1s-100ug_mL 1,70,0.045,1660.0
k_1s-100ug_mL 1,71,0.0433,1790.0
k_1s-100ug_mL 1,72,0.0416,1920.0
k_1s-100ug_mL 1,73,0.0402,2040.0
k_1s-100ug_mL 1,74,0.0374,2300.0
k_1s-100ug_mL 1,75,0.0349,2560.0
k_1s-100ug_mL 1,76,0.0326,2810.0
k_1s-100ug_mL 1,77,0.0304,3070.0
k_1s-100ug_mL 1,78,0.0285,3320.0
k_1s-100ug_mL 1,79,0.0267,3580.0
k_1s-100ug_mL 1,80,0.025,3840.0
k_1s-100ug_mL 1,81,0.0235,4090.0
k_1s-100ug_mL 1,82,0.0209,4600.0
k_1s-100ug_mL 1,83,0.0187,5120.0
k_1s-100ug_mL 1,84,0.0168,5630.0
k_1s-100ug_mL 1,85,0.0152,6140.0
k_1s-100ug_mL 1,86,0.0139,6650.0
k_1s-100ug_mL 1,87,0.0127,7160.0
k_1s-100ug_mL 1,88,0.0118,7680.0
k_1s-100ug_mL 1,89,0.0113,8190.0
k_1s-100ug_mL 1,90,0.0101,9210.0
k_1s-100ug_mL 1,91,0.00831,10200.0
k_1s-100ug_mL 1,92,0.0068,11300.0
k_1s-100ug_mL 1,93,0.00589,12300.0
k_1s-100ug_mL 1,94,0.00538,13300.0
k_1s-100ug_mL 1,95,0.00495,14300.0
k_1s-100ug_mL 1,96,0.00471,15400.0
k_1s-100ug_mL 1,97,0.00401,16400.0
k_1s-100ug_mL 1,98,0.00303,18400.0
k_1s-100ug_mL 1,99,0.00175,20500.0
k_1s-100ug_mL 1,100,0.00124,22500.0
k_1s-100ug_mL 1,101,0.00144,24600.0
k_1s-100ug_mL 1,102,0.00197,26600.0
k_1s-100ug_mL 1,103,0.00293,28700.0
k_1s-100ug_mL 1,104,0.00373,30700.0
k_1s-100ug_mL 1,105,0.00381,32800.0
k_1s-100ug_mL 1,106,0.00351,36900.0
k_1s-100ug_mL 1,107,0.00255,41000.0
k_1s-100ug_mL 1,108,0.00389,45100.0
k_1s-100ug_mL 1,109,0.00372,49100.0
k_1s-100ug_mL 1,110,0.00286,53200.0
k_1s-100ug_mL 1,111,0.0015,57300.0
k_1s-100ug_mL 1,112,0.00172,61400.0
k_1s-100ug_mL 1,113,0.0029,65500.0
k_1s-100ug_mL 1,114,0.00339,73700.0
k_1s-100ug_mL 1,115,0.00503,81900.0
k_1s-100ug_mL 1,116,0.00324,90100.0
k_1s-100ug_mL 1,117,0.00483,98300.0
k_1s-100ug_mL 1,118,0.00461,106000.0
k_1s-100ug_mL 1,119,0.00539,115000.0
k_1s-100ug_mL 1,120,0.00541,123000.0
k_1s-100ug_mL 1,121,0.00434,131000.0
k_1s-100ug_mL 1,122,0.00131,147000.0
k_1s-100ug_mL 1,123,0.00404,164000.0
k_1s-100ug_mL 1,124,0.00212,180000.0
k_1s-100ug_mL 1,125,0.00259,197000.0
k_1s-100ug_mL 1,126,0.00254,213000.0
k_1s-100ug_mL 1,127,0.00352,229000.0
k_1s-100ug_mL 1,128,0.00259,246000.0
k_1s-100ug_mL 1,129,0.00177,262000.0
k_1s-100ug_mL 1,130,0.002,295000.0
k_1s-100ug_mL 1,131,0.0018,328000.0
k_1s-100ug_mL 1,132,0.000844,360000.0
k_1s-100ug_mL 1,133,0.000363,393000.0
k_1s-100ug_mL 1,134,0.000345,426000.0
k_1s-100ug_mL 1,135,0.000168,459000.0
k_1s-100ug_mL 1,136,0.000467,492000.0
k_1s-100ug_mL 1,137,0.000271,524000.0
k_1s-100ug_mL 1,138,0.000239,590000.0
k_1s-100ug_mL 1,139,0.000412,655000.0
k_1s-100ug_mL 1,140,0.000269,721000.0
k_1s-100ug_mL 1,141,0.000238,786000.0
k_1s-100ug_mL 1,142,0.00041,852000.0
k_1s-100ug_mL 1,143,0.00052,918000.0
k_1s-100ug_mL 1,144,0.000121,983000.0
k_1s-100ug_mL 1,145,0.000729,1050000.0
k_1s-100ug_mL 1,146,0.000355,1180000.0
k_1s-100ug_mL 1,147,0.000574,1310000.0
k_1s-100ug_mL 1,148,0.000426,1440000.0
k_1s-100ug_mL 1,149,0.000325,1570000.0
k_1s-100ug_mL 1,150,0.000468,1700000.0
k_1s-100ug_mL 1,151,0.000966,1840000.0
k_1s-100ug_mL 1,152,0.000946,1970000.0
k_1s-100ug_mL 1,153,0.000765,2100000.0
k_1s-100ug_mL 1,154,0.000131,2360000.0
k_1s-100ug_mL 1,155,0.000271,2620000.0
k_1s-100ug_mL 1,156,0.000648,2880000.0
k_1s-100ug_mL 1,157,0.000472,3150000.0
k_1s-100ug_mL 1,158,0.000351,3410000.0
k_1s-100ug_mL 1,159,0.000933,3670000.0
k_1s-100ug_mL 1,160,0.000719,3930000.0
k_1s-100ug_mL 1,161,0.0,4190000.0
k_1s-100ug_mL 1,162,0.0,4720000.0
k_1s-100ug_mL 1,163,0.0,5240000.0
k_1s-100ug_mL 1,164,0.0,5770000.0
k_1s-100ug_mL 1,165,0.0,6290000.0
k_1s-100ug_mL 1,166,0.0,6820000.0
k_1s-100ug_mL 1,167,0.0,7340000.0
k_1s-100ug_mL 1,168,0.0,7860000.0
k_1s-100ug_mL 1,169,0.0,8390000.0
k_1s-100ug_mL 1,170,0.0,9440000.0
k_1s-100ug_mL 1,171,0.0,10500000.0
k_1s-100ug_mL 1,172,0.0,11500000.0
k_1s-100ug_mL 1,173,0.0,12600000.0
k_1s-100ug_mL 1,174,0.0,13600000.0
k_1s-100ug_mL 1,175,0.0,14700000.0
k_1s-100ug_mL 1,176,0.0,15700000.0
k_1s-100ug_mL 1,177,0.0,16800000.0
k_1s-100ug_mL 1,178,0.0,18900000.0
k_1s-100ug_mL 1,179,0.0,21000000.0
k_1s-100ug_mL 1,180,0.0,23100000.0
k_1s-100ug_mL 1,181,0.0,25200000.0
k_1s-100ug_mL 1,182,0.0,27300000.0
k_1s-100ug_mL 1,183,0.0,29400000.0
k_1s-100ug_mL 1,184,0.0,31500000.0
k_1s-100ug_mL 1,185,0.0,33600000.0
k_1s-100ug_mL 1,186,0.0,37700000.0
k_1s-100ug_mL 1,187,0.0,41900000.0
k_1s-100ug_mL 1,188,0.0,46100000.0
k_1s-100ug_mL 1,189,0.0,50300000.0
k_1s-100ug_mL 1,190,0.0,54500000.0
k_1s-100ug_mL 1,191,0.0,58700000.0
k_1s-100ug_mL 1,192,0.0,62900000.0
k_1s-100ug_mL 2,1,0.0821,0.5
k_1s-100ug_mL 2,2,0.0882,1.0
k_1s-100ug_mL 2,3,0.0879,1.5
k_1s-100ug_mL 2,4,0.0882,2.0
k_1s-100ug_mL 2,5,0.0872,2.5
k_1s-100ug_mL 2,6,0.0872,3.0
k_1s-100ug_mL 2,7,0.0879,3.5
k_1s-100ug_mL 2,8,0.0873,4.0
k_1s-100ug_mL 2,9,0.0872,4.5
k_1s-100ug_mL 2,10,0.0876,5.5
k_1s-100ug_mL 2,11,0.0871,6.5
k_1s-100ug_mL 2,12,0.0863,7.5
k_1s-100ug_mL 2,13,0.0865,8.5
k_1s-100ug_mL 2,14,0.0866,9.5
k_1s-100ug_mL 2,15,0.0858,10.5
k_1s-100ug_mL 2,16,0.0866,11.5
k_1s-100ug_mL 2,17,0.0857,12.5
k_1s-100ug_mL 2,18,0.0854,14.5
k_1s-100ug_mL 2,19,0.0851,16.5
k_1s-100ug_mL 2,20,0.0855,18.5
k_1s-100ug_mL 2,21,0.0851,20.5
k_1s-100ug_mL 2,22,0.0852,22.5
k_1s-100ug_mL 2,23,0.085,24.5
k_1s-100ug_mL 2,24,0.0842,26.5
k_1s-100ug_mL 2,25,0.0838,28.5
k_1s-100ug_mL 2,26,0.0837,32.5
k_1s-100ug_mL 2,27,0.0833,36.5
k_1s-100ug_mL 2,28,0.0832,40.5
k_1s-100ug_mL 2,29,0.0826,44.5
k_1s-100ug_mL 2,30,0.0827,48.5
k_1s-100ug_mL 2,31,0.0825,52.5
k_1s-100ug_mL 2,32,0.0818,56.5
k_1s-100ug_mL 2,33,0.0813,60.5
k_1s-100ug_mL 2,34,0.0807,68.5
k_1s-100ug_mL 2,35,0.0801,76.5
k_1s-100ug_mL 2,36,0.0796,84.5
k_1s-100ug_mL 2,37,0.0793,92.5
k_1s-100ug_mL 2,38,0.0786,101.0
k_1s-100ug_mL 2,39,0.0783,109.0
k_1s-100ug_mL 2,40,0.0778,117.0
k_1s-100ug_mL 2,41,0.0775,125.0
k_1s-100ug_mL 2,42,0.0766,141.0
k_1s-100ug_mL 2,43,0.0758,157.0
k_1s-100ug_mL 2,44,0.0751,173.0
k_1s-100ug_mL 2,45,0.0743,189.0
k_1s-100ug_mL 2,46,0.0736,205.0
k_1s-100ug_mL 2,47,0.0728,221.0
k_1s-100ug_mL 2,48,0.0723,237.0
k_1s-100ug_mL 2,49,0.0718,253.0
k_1s-100ug_mL 2,50,0.0703,285.0
k_1s-100ug_mL 2,51,0.0692,317.0
k_1s-100ug_mL 2,52,0.0681,349.0
k_1s-100ug_mL 2,53,0.067,381.0
k_1s-100ug_mL 2,54,0.0661,413.0
k_1s-100ug_mL 2,55,0.065,445.0
k_1s-100ug_mL 2,56,0.0641,477.0
k_1s-100ug_mL 2,57,0.0632,509.0
k_1s-100ug_mL 2,58,0.0616,573.0
k_1s-100ug_mL 2,59,0.06,637.0
k_1s-100ug_mL 2,60,0.0584,701.0
k_1s-100ug_mL 2,61,0.0568,765.0
k_1s-100ug_mL 2,62,0.0555,829.0
k_1s-100ug_mL 2,63,0.0539,893.0
k_1s-100ug_mL 2,64,0.0529,957.0
k_1s-100ug_mL 2,65,0.0516,1020.0
k_1s-100ug_mL 2,66,0.0493,1150.0
k_1s-100ug_mL 2,67,0.0471,1280.0
k_1s-100ug_mL 2,68,0.045,1400.0
k_1s-100ug_mL 2,69,0.0432,1530.0
k_1s-100ug_mL 2,70,0.0416,1660.0
k_1s-100ug_mL 2,71,0.04,1790.0
k_1s-100ug_mL 2,72,0.0385,1920.0
k_1s-100ug_mL 2,73,0.037,2040.0
k_1s-100ug_mL 2,74,0.0343,2300.0
k_1s-100ug_mL 2,75,0.0317,2560.0
k_1s-100ug_mL 2,76,0.0296,2810.0
k_1s-100ug_mL 2,77,0.0277,3070.0
k_1s-100ug_mL 2,78,0.0259,3320.0
k_1s-100ug_mL 2,79,0.0245,3580.0
k_1s-100ug_mL 2,80,0.023,3840.0
k_1s-100ug_mL 2,81,0.0217,4090.0
k_1s-100ug_mL 2,82,0.0196,4600.0
k_1s-100ug_mL 2,83,0.0178,5120.0
k_1s-100ug_mL 2,84,0.016,5630.0
k_1s-100ug_mL 2,85,0.0145,6140.0
k_1s-100ug_mL 2,86,0.0131,6650.0
k_1s-100ug_mL 2,87,0.0119,7160.0
k_1s-100ug_mL 2,88,0.0111,7680.0
k_1s-100ug_mL 2,89,0.0105,8190.0
k_1s-100ug_mL 2,90,0.00957,9210.0
k_1s-100ug_mL 2,91,0.00922,10200.0
k_1s-100ug_mL 2,92,0.0086,11300.0
k_1s-100ug_mL 2,93,0.00812,12300.0
k_1s-100ug_mL 2,94,0.00784,13300.0
k_1s-100ug_mL 2,95,0.00762,14300.0
k_1s-100ug_mL 2,96,0.00772,15400.0
k_1s-100ug_mL 2,97,0.00788,16400.0
k_1s-100ug_mL 2,98,0.00804,18400.0
k_1s-100ug_mL 2,99,0.00815,20500.0
k_1s-100ug_mL 2,100,0.0076,22500.0
k_1s-100ug_mL 2,101,0.00722,24600.0
k_1s-100ug_mL 2,102,0.00671,26600.0
k_1s-100ug_mL 2,103,0.00629,28700.0
k_1s-100ug_mL 2,104,0.0066,30700.0
k_1s-100ug_mL 2,105,0.00679,32800.0
k_1s-100ug_mL 2,106,0.00674,36900.0
k_1s-100ug_mL 2,107,0.00641,41000.0
k_1s-100ug_mL 2,108,0.00589,45100.0
k_1s-100ug_mL 2,109,0.00539,49100.0
k_1s-100ug_mL 2,110,0.00538,53200.0
k_1s-100ug_mL 2,111,0.00587,57300.0
k_1s-100ug_mL 2,112,0.00556,61400.0
k_1s-100ug_mL 2,113,0.0064,65500.0
k_1s-100ug_mL 2,114,0.0069,73700.0
k_1s-100ug_mL 2,115,0.00688,81900.0
k_1s-100ug_mL 2,116,0.00642,90100.0
k_1s-100ug_mL 2,117,0.00653,98300.0
k_1s-100ug_mL 2,118,0.00593,106000.0
k_1s-100ug_mL 2,119,0.0061,115000.0
k_1s-100ug_mL 2,120,0.00577,123000.0
k_1s-100ug_mL 2,121,0.00633,131000.0
k_1s-100ug_mL 2,122,0.00553,147000.0
k_1s-100ug_mL 2,123,0.00537,164000.0
k_1s-100ug_mL 2,124,0.00547,180000.0
k_1s-100ug_mL 2,125,0.00526,197000.0
k_1s-100ug_mL 2,126,0.00394,213000.0
k_1s-100ug_mL 2,127,0.0031,229000.0
k_1s-100ug_mL 2,128,0.00289,246000.0
k_1s-100ug_mL 2,129,0.0033,262000.0
k_1s-100ug_mL 2,130,0.0029,295000.0
k_1s-100ug_mL 2,131,0.00378,328000.0
k_1s-100ug_mL 2,132,0.00245,360000.0
k_1s-100ug_mL 2,133,0.00202,393000.0
k_1s-100ug_mL 2,134,0.00165,426000.0
k_1s-100ug_mL 2,135,0.00166,459000.0
k_1s-100ug_mL 2,136,0.00126,492000.0
k_1s-100ug_mL 2,137,0.000583,524000.0
k_1s-100ug_mL 2,138,0.000336,590000.0
k_1s-100ug_mL 2,139,0.000172,655000.0
k_1s-100ug_mL 2,140,4.14e-05,721000.0
k_1s-100ug_mL 2,141,3.02e-05,786000.0
k_1s-100ug_mL 2,142,0.0,852000.0
k_1s-100ug_mL 2,143,0.0,918000.0
k_1s-100ug_mL 2,144,1.94e-05,983000.0
k_1s-100ug_mL 2,145,0.000412,1050000.0
k_1s-100ug_mL 2,146,0.000524,1180000.0
k_1s-100ug_mL 2,147,0.000419,1310000.0
k_1s-100ug_mL 2,148,0.000417,1440000.0
k_1s-100ug_mL 2,149,0.000377,1570000.0
k_1s-100ug_mL 2,150,0.000165,1700000.0
k_1s-100ug_mL 2,151,0.000147,1840000.0
k_1s-100ug_mL 2,152,0.000489,1970000.0
k_1s-100ug_mL 2,153,0.000678,2100000.0
k_1s-100ug_mL 2,154,0.00019,2360000.0
k_1s-100ug_mL 2,155,0.000182,2620000.0
k_1s-100ug_mL 2,156,0.000343,2880000.0
k_1s-100ug_mL 2,157,0.000445,3150000.0
k_1s-100ug_mL 2,158,0.000783,3410000.0
k_1s-100ug_mL 2,159,8.3e-05,3670000.0
k_1s-100ug_mL 2,160,0.000347,3930000.0
k_1s-100ug_mL 2,161,0.0,4190000.0
k_1s-100ug_mL 2,162,0.0,4720000.0
k_1s-100ug_mL 2,163,0.0,5240000.0
k_1s-100ug_mL 2,164,0.0,5770000.0
k_1s-100ug_mL 2,165,0.0,6290000.0
k_1s-100ug_mL 2,166,0.0,6820000.0
k_1s-100ug_mL 2,167,0.0,7340000.0
k_1s-100ug_mL 2,168,0.0,7860000.0
k_1s-100ug_mL 2,169,0.0,8390000.0
k_1s-100ug_mL 2,170,0.0,9440000.0
k_1s-100ug_mL 2,171,0.0,10500000.0
k_1s-100ug_mL 2,172,0.0,11500000.0
k_1s-100ug_mL 2,173,0.0,12600000.0
k_1s-100ug_mL 2,174,0.0,13600000.0
k_1s-100ug_mL 2,175,0.0,14700000.0
k_1s-100ug_mL 2,176,0.0,15700000.0
k_1s-100ug_mL 2,177,0.0,16800000.0
k_1s-100ug_mL 2,178,0.0,18900000.0
k_1s-100ug_mL 2,179,0.0,21000000.0
k_1s-100ug_mL 2,180,0.0,23100000.0
k_1s-100ug_mL 2,181,0.0,25200000.0
k_1s-100ug_mL 2,182,0.0,27300000.0
k_1s-100ug_mL 2,183,0.0,29400000.0
k_1s-100ug_mL 2,184,0.0,31500000.0
k_1s-100ug_mL 2,185,0.0,33600000.0
k_1s-100ug_mL 2,186,0.0,37700000.0
k_1s-100ug_mL 2,187,0.0,41900000.0
k_1s-100ug_mL 2,188,0.0,46100000.0
k_1s-100ug_mL 2,189,0.0,50300000.0
k_1s-100ug_mL 2,190,0.0,54500000.0
k_1s-100ug_mL 2,191,0.0,58700000.0
k_1s-100ug_mL 2,192,0.0,62900000.0
k_1s-100ug_mL 3,1,0.0716,0.5
k_1s-100ug_mL 3,2,0.0788,1.0
k_1s-100ug_mL 3,3,0.079,1.5
k_1s-100ug_mL 3,4,0.0773,2.0
k_1s-100ug_mL 3,5,0.0771,2.5
k_1s-100ug_mL 3,6,0.0777,3.0
k_1s-100ug_mL 3,7,0.0768,3.5
k_1s-100ug_mL 3,8,0.0773,4.0
k_1s-100ug_mL 3,9,0.0777,4.5
k_1s-100ug_mL 3,10,0.0768,5.5
k_1s-100ug_mL 3,11,0.0764,6.5
k_1s-100ug_mL 3,12,0.0759,7.5
k_1s-100ug_mL 3,13,0.0758,8.5
k_1s-100ug_mL 3,14,0.0752,9.5
k_1s-100ug_mL 3,15,0.0763,10.5
k_1s-100ug_mL 3,16,0.0767,11.5
k_1s-100ug_mL 3,17,0.0757,12.5
k_1s-100ug_mL 3,18,0.0756,14.5
k_1s-100ug_mL 3,19,0.0753,16.5
k_1s-100ug_mL 3,20,0.075,18.5
k_1s-100ug_mL 3,21,0.0748,20.5
k_1s-100ug_mL 3,22,0.0742,22.5
k_1s-100ug_mL 3,23,0.0741,24.5
k_1s-100ug_mL 3,24,0.0741,26.5
k_1s-100ug_mL 3,25,0.0741,28.5
k_1s-100ug_mL 3,26,0.0739,32.5
k_1s-100ug_mL 3,27,0.0727,36.5
k_1s-100ug_mL 3,28,0.0724,40.5
k_1s-100ug_mL 3,29,0.0721,44.5
k_1s-100ug_mL 3,30,0.0721,48.5
k_1s-100ug_mL 3,31,0.0714,52.5
k_1s-100ug_mL 3,32,0.0712,56.5
k_1s-100ug_mL 3,33,0.0708,60.5
k_1s-100ug_mL 3,34,0.0702,68.5
k_1s-100ug_mL 3,35,0.0693,76.5
k_1s-100ug_mL 3,36,0.0689,84.5
k_1s-100ug_mL 3,37,0.0685,92.5
k_1s-100ug_mL 3,38,0.0678,101.0
k_1s-100ug_mL 3,39,0.0671,109.0
k_1s-100ug_mL 3,40,0.0667,117.0
k_1s-100ug_mL 3,41,0.0661,125.0
k_1s-100ug_mL 3,42,0.0655,141.0
k_1s-100ug_mL 3,43,0.0645,157.0
k_1s-100ug_mL 3,44,0.0638,173.0
k_1s-100ug_mL 3,45,0.0628,189.0
k_1s-100ug_mL 3,46,0.062,205.0
k_1s-100ug_mL 3,47,0.0613,221.0
k_1s-100ug_mL 3,48,0.0607,237.0
k_1s-100ug_mL 3,49,0.06,253.0
k_1s-100ug_mL 3,50,0.0585,285.0
k_1s-100ug_mL 3,51,0.0572,317.0
k_1s-100ug_mL 3,52,0.0562,349.0
k_1s-100ug_mL 3,53,0.055,381.0
k_1s-100ug_mL 3,54,0.0538,413.0
k_1s-100ug_mL 3,55,0.0529,445.0
k_1s-100ug_mL 3,56,0.0518,477.0
k_1s-100ug_mL 3,57,0.0509,509.0
k_1s-100ug_mL 3,58,0.0491,573.0
k_1s-100ug_mL 3,59,0.0474,637.0
k_1s-100ug_mL 3,60,0.0457,701.0
k_1s-100ug_mL 3,61,0.0442,765.0
k_1s-100ug_mL 3,62,0.0427,829.0
k_1s-100ug_mL 3,63,0.0413,893.0
k_1s-100ug_mL 3,64,0.04,957.0
k_1s-100ug_mL 3,65,0.0388,1020.0
k_1s-100ug_mL 3,66,0.0365,1150.0
k_1s-100ug_mL 3,67,0.0343,1280.0
k_1s-100ug_mL 3,68,0.0322,1400.0
k_1s-100ug_mL 3,69,0.0304,1530.0
k_1s-100ug_mL 3,70,0.0288,1660.0
k_1s-100ug_mL 3,71,0.0273,1790.0
k_1s-100ug_mL 3,72,0.0258,1920.0
k_1s-100ug_mL 3,73,0.0245,2040.0
k_1s-100ug_mL 3,74,0.022,2300.0
k_1s-100ug_mL 3,75,0.0199,2560.0
k_1s-100ug_mL 3,76,0.0183,2810.0
k_1s-100ug_mL 3,77,0.0167,3070.0
k_1s-100ug_mL 3,78,0.0153,3320.0
k_1s-100ug_mL 3,79,0.0141,3580.0
k_1s-100ug_mL 3,80,0.013,3840.0
k_1s-100ug_mL 3,81,0.0121,4090.0
k_1s-100ug_mL 3,82,0.0101,4600.0
k_1s-100ug_mL 3,83,0.00856,5120.0
k_1s-100ug_mL 3,84,0.00739,5630.0
k_1s-100ug_mL 3,85,0.0064,6140.0
k_1s-100ug_mL 3,86,0.00569,6650.0
k_1s-100ug_mL 3,87,0.00504,7160.0
k_1s-100ug_mL 3,88,0.00464,7680.0
k_1s-100ug_mL 3,89,0.00408,8190.0
k_1s-100ug_mL 3,90,0.00336,9210.0
k_1s-100ug_mL 3,91,0.00315,10200.0
k_1s-100ug_mL 3,92,0.00264,11300.0
k_1s-100ug_mL 3,93,0.00233,12300.0
k_1s-100ug_mL 3,94,0.0022,13300.0
k_1s-100ug_mL 3,95,0.00206,14300.0
k_1s-100ug_mL 3,96,0.00212,15400.0
k_1s-100ug_mL 3,97,0.00201,16400.0
k_1s-100ug_mL 3,98,0.00216,18400.0
k_1s-100ug_mL 3,99,0.00244,20500.0
k_1s-100ug_mL 3,100,0.00223,22500.0
k_1s-100ug_mL 3,101,0.00245,24600.0
k_1s-100ug_mL 3,102,0.00238,26600.0
k_1s-100ug_mL 3,103,0.0021,28700.0
k_1s-100ug_mL 3,104,0.00214,30700.0
k_1s-100ug_mL 3,105,0.0019,32800.0
k_1s-100ug_mL 3,106,0.00208,36900.0
k_1s-100ug_mL 3,107,0.0018,41000.0
k_1s-100ug_mL 3,108,0.00177,45100.0
k_1s-100ug_mL 3,109,0.00184,49100.0
k_1s-100ug_mL 3,110,0.00227,53200.0
k_1s-100ug_mL 3,111,0.00258,57300.0
k_1s-100ug_mL 3,112,0.00195,61400.0
k_1s-100ug_mL 3,113,0.00156,65500.0
k_1s-100ug_mL 3,114,0.0016,73700.0
k_1s-100ug_mL 3,115,0.00203,81900.0
k_1s-100ug_mL 3,116,0.00204,90100.0
k_1s-100ug_mL 3,117,0.00231,98300.0
k_1s-100ug_mL 3,118,0.00233,106000.0
k_1s-100ug_mL 3,119,0.00173,115000.0
k_1s-100ug_mL 3,120,0.00148,123000.0
k_1s-100ug_mL 3,121,0.00167,131000.0
k_1s-100ug_mL 3,122,0.00204,147000.0
k_1s-100ug_mL 3,123,0.00117,164000.0
k_1s-100ug_mL 3,124,0.00138,180000.0
k_1s-100ug_mL 3,125,0.00128,197000.0
k_1s-100ug_mL 3,126,0.00147,213000.0
k_1s-100ug_mL 3,127,0.00159,229000.0
k_1s-100ug_mL 3,128,0.00134,246000.0
k_1s-100ug_mL 3,129,0.00137,262000.0
k_1s-100ug_mL 3,130,0.00137,295000.0
k_1s-100ug_mL 3,131,0.0015,328000.0
k_1s-100ug_mL 3,132,0.00181,360000.0
k_1s-100ug_mL 3,133,0.00154,393000.0
k_1s-100ug_mL 3,134,0.00115,426000.0
k_1s-100ug_mL 3,135,0.00181,459000.0
