Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,dist_n_points,dist_peak_x,dist_auc_logx,dist_width_halfmax_logx,dist_centroid_x,dist_signal_raw_max,dist_signal_raw_min
L_3S-1mg_mL 1,L_3S-1mg_mL,water,lambda,1 mg/mL,1.0,40,0.229,2.7250429519984456,3.4253141813090364,4.0926097140113695,0.94,0.00196
L_3S-1mg_mL 2,L_3S-1mg_mL,water,lambda,1 mg/mL,2.0,40,0.175,2.6042315207920033,3.402880841050708,3.627080909188777,0.932,0.0011
L_3S-1mg_mL 3,L_3S-1mg_mL,water,lambda,1 mg/mL,3.0,40,0.143,3.2738093591865827,4.176469070721008,13.7932802744794,0.909,0.0299
L_3S-1mg_mL-mean,,,,,,40,0.229,2.7250429519984456,3.4253141813090364,4.0926097140113695,0.94,0.00196
L_3S-35ug_mL 1,L_3S-35ug_mL,water,lambda,35 ug/mL,1.0,39,0.373,2.928911262875236,3.4434792059474413,4.159317195679398,0.807,0.005979999999999999
L_3S-35ug_mL 2,L_3S-35ug_mL,water,lambda,35 ug/mL,2.0,39,0.199,2.641228303490089,3.434301728091042,3.7430469423411714,0.738,0.00141
L_3S-35ug_mL 3,L_3S-35ug_mL,water,lambda,35 ug/mL,3.0,39,0.11,2.820820346755528,3.7696987727166382,2.9426676028211896,0.668,0.000473
L_3S-35ug_mL-mean,,,,,,39,0.373,2.928911262875236,3.4434792059474413,4.159317195679398,0.807,0.005979999999999999
aMEM-Ctrl 1,aMEM-Ctrl,medium,,,1.0,40,0.49,2.724454301585665,3.077220545282097,5.04842083317857,0.918,0.00425
aMEM-Ctrl 2,aMEM-Ctrl,medium,,,2.0,40,0.171,2.5552571360157335,3.2120003801728005,2.7610168287092742,0.58,0.00111
aMEM-Ctrl 3,aMEM-Ctrl,medium,,,3.0,40,0.136,3.009736627582489,3.9696439276750066,2.7872594754110382,0.544,0.000715
aMEM-Ctrl-mean,,,,,,40,0.49,2.724454301585665,3.077220545282097,5.04842083317857,0.918,0.00425
aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,medium,,,1.0,40,0.0261,2.824236814236194,2.9233218991061793,1.2750784676719895,0.857,0.000629
aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,medium,,,2.0,40,0.018,1.7095191817724837,2.80746188989389,0.49765949838543355,0.856,0.000108
aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,medium,,,3.0,31,7.5,1.1580744453221024,1.0517954455579923,37.0629967970627,0.818,0.0155
aMEM_10pct-Ctrl-mean,,,,,,40,0.0261,2.824236814236194,2.9233218991061793,1.2750784676719895,0.857,0.000629
aMEM_10pct-L_3s 1,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,1.0,39,0.0133,2.3207076248579837,3.442007635303338,2.6464977602540274,0.908,0.00129
aMEM_10pct-L_3s 2,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,2.0,40,0.018,2.5431703017136766,3.3930875058776255,6.050448190822279,0.911,0.00152
aMEM_10pct-L_3s 3,aMEM_10pct-L_3s,medium,lambda,35 ug/mL,3.0,10,173.0,0.4966844533591719,0.41031390785213606,335.6988361481363,0.724,0.334
aMEM_10pct-L_3s-mean,,,,,,39,0.0133,2.3207076248579837,3.442007635303338,2.6464977602540274,0.908,0.00129
aMEM_10pct-i_2s 1,aMEM_10pct-i_2s,medium,iota,20 ug/mL,1.0,40,0.0258,3.12031503639238,3.122406400092905,3.4634398169812197,0.895,0.00382
aMEM_10pct-i_2s 2,aMEM_10pct-i_2s,medium,iota,20 ug/mL,2.0,40,1.5,1.5810819313810254,1.5759571887637573,13.194091381545583,0.895,0.0124
aMEM_10pct-i_2s 3,aMEM_10pct-i_2s,medium,iota,20 ug/mL,3.0,28,11.5,1.1380203999565872,1.088521272301768,54.9424305449429,0.846,0.0232
aMEM_10pct-i_2s-mean,,,,,,40,0.0258,3.12031503639238,3.122406400092905,3.4634398169812197,0.895,0.00382
aMEM_10pct-k_1s 1,aMEM_10pct-k_1s,medium,kappa,100 ug/mL,1.0,40,0.0263,2.0766647180037565,3.08218675618735,0.9765411790545324,0.863,0.00031
aMEM_10pct-k_1s 2,aMEM_10pct-k_1s,medium,kappa,100 ug/mL,2.0,40,0.0364,1.7474836541801382,2.7197252259266382,0.36823705648559685,0.864,3.01e-05
aMEM_10pct-k_1s 3,aMEM_10pct-k_1s,medium,kappa,100 ug/mL,3.0,39,0.0196,1.8574706302747075,2.94125991419492,1.0205787237009627,0.858,0.000388
aMEM_10pct-k_1s-mean,,,,,,40,0.0263,2.0766647180037565,3.08218675618735,0.9765411790545324,0.863,0.00031
i_2S-1mg_mL 1,i_2S-1mg_mL,water,iota,1 mg/mL,1.0,40,0.404,2.6137953769250317,3.1683010146294293,4.320804545715935,0.98,0.00325
i_2S-1mg_mL 2,i_2S-1mg_mL,water,iota,1 mg/mL,2.0,40,0.251,2.595509911155162,3.340070899902468,3.605878130683629,0.921,0.00201
i_2S-1mg_mL 3,i_2S-1mg_mL,water,iota,1 mg/mL,3.0,39,0.21,2.7620654306201446,3.5941246640770608,2.426797020160243,0.912,0.000324
i_2S-1mg_mL-mean,,,,,,40,0.404,2.6137953769250317,3.1683010146294293,4.320804545715935,0.98,0.00325
i_2S-20ug_mL 1,i_2S-20ug_mL,water,iota,20 ug/mL,1.0,40,0.46,2.6957153452237947,3.0390409042384867,5.3151926593492425,1.05,0.00479
i_2S-20ug_mL 2,i_2S-20ug_mL,water,iota,20 ug/mL,2.0,40,0.188,2.5827807238692606,3.34151988563924,2.949038136360942,0.658,0.00135
i_2S-20ug_mL 3,i_2S-20ug_mL,water,iota,20 ug/mL,3.0,39,0.127,2.863265282469203,3.62526224640906,2.645341561500129,0.516,0.000647
i_2S-20ug_mL-mean,,,,,,40,0.46,2.6957153452237947,3.0390409042384867,5.3151926593492425,1.05,0.00479
k_1s-100ug_mL 1,k_1s-100ug_mL,water,kappa,100 ug/mL,1.0,40,2.0,3.084463101400463,3.1856365769619117,65.57878595264626,0.305,0.0351
k_1s-100ug_mL 2,k_1s-100ug_mL,water,kappa,100 ug/mL,2.0,40,0.0319,3.034566223366222,4.2509705885228755,2.1342585511752126,0.287,3.49e-05
k_1s-100ug_mL 3,k_1s-100ug_mL,water,kappa,100 ug/mL,3.0,40,0.0229,3.2556023900948814,4.697456781613778,6.295612307747092,0.278,0.000588
k_1s-100ug_mL-mean,,,,,,40,2.0,3.084463101400463,3.1856365769619117,65.57878595264626,0.305,0.0351
k_1s-1mg_mL 1,k_1s-1mg_mL,water,kappa,1 mg/mL,1.0,40,0.173,2.8462267152504372,3.697988547462041,3.4197018530509546,0.913,0.00128
k_1s-1mg_mL 2,k_1s-1mg_mL,water,kappa,1 mg/mL,2.0,39,0.137,2.795746757258607,3.8048268389702686,2.1279240951932112,0.9045000000000001,8.36e-05
k_1s-1mg_mL 3,k_1s-1mg_mL,water,kappa,1 mg/mL,3.0,39,0.128,2.4740378141523336,3.3682278951494675,3.012940781238112,0.885,0.000329
k_1s-1mg_mL-mean,,,,,,40,0.173,2.8462267152504372,3.697988547462041,3.4197018530509546,0.913,0.00128
