Sample_Name,point_index,distribution_fit,distribution_fit_data,distribution_delay_time,sample_name_raw,sample_base,carrageenan_code,carrageenan,concentration_value,concentration_unit,concentration_label,matrix,replicate,is_mean
k_1s-100ug_mL 1,1,0.303,0.302,1.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,2,0.303,0.305,2.0,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,3,0.302,0.302,2.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,4,0.302,0.301,3.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,5,0.302,0.302,4.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,6,0.301,0.301,5.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,7,0.301,0.3,7.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,8,0.3,0.301,9.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,9,0.3,0.3,11.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,10,0.299,0.298,14.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
k_1s-100ug_mL 1,11,0.298,0.299,18.5,k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1.0,False
