Sample_Name,sample_base,carrageenan,matrix,concentration_label,replicate,dist_signal_max,dist_signal_mean,dist_signal_std,dist_x_at_max,n_points
L_3S-1mg_mL 1,L_3S-1mg_mL,lambda,water,1 mg/mL,1.0,0.94,0.6994724999999999,0.34956819880261214,0.249,40
L_3S-1mg_mL 2,L_3S-1mg_mL,lambda,water,1 mg/mL,2.0,0.932,0.68966125,0.3476175008000892,0.175,40
L_3S-1mg_mL 3,L_3S-1mg_mL,lambda,water,1 mg/mL,3.0,0.909,0.7165250000000001,0.2696414920422472,0.143,40
L_3S-1mg_mL-mean,L_3S-1mg_mL-mean,lambda,water,1 mg/mL,,0.94,0.6994724999999999,0.34956819880261214,0.249,40
L_3S-35ug_mL 1,L_3S-35ug_mL,lambda,water,35 ug/mL,1.0,0.807,0.5930965,0.2838384700218753,0.373,40
L_3S-35ug_mL 2,L_3S-35ug_mL,lambda,water,35 ug/mL,2.0,0.738,0.5186165,0.27059671565984955,0.199,40
L_3S-35ug_mL 3,L_3S-35ug_mL,lambda,water,35 ug/mL,3.0,0.669,0.46092182500000006,0.25347287114614686,0.11,40
L_3S-35ug_mL-mean,L_3S-35ug_mL-mean,lambda,water,35 ug/mL,,0.807,0.5930965,0.2838384700218753,0.373,40
aMEM-Ctrl 1,aMEM-Ctrl,,medium,,1.0,0.918,0.70074625,0.316761148668977,0.49,40
aMEM-Ctrl 2,aMEM-Ctrl,,medium,,2.0,0.58,0.38619,0.21063027484683033,0.171,40
aMEM-Ctrl 3,aMEM-Ctrl,,medium,,3.0,0.544,0.374188375,0.1981453883350443,0.136,40
aMEM-Ctrl-mean,aMEM-Ctrl-mean,,medium,,,0.918,0.70074625,0.316761148668977,0.49,40
aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,,medium,,1.0,0.857,0.327918225,0.3211617464350394,0.0261,40
aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,,medium,,2.0,0.856,0.32359755,0.3216865416844,0.018,40
aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,,medium,,3.0,0.818,0.3351096774193549,0.2941787952417585,7.5,31
aMEM_10pct-Ctrl-mean,aMEM_10pct-Ctrl-mean,,medium,,,0.857,0.327918225,0.3211617464350394,0.0261,40
aMEM_10pct-L_3s 1,aMEM_10pct-L_3s,lambda,medium,35 ug/mL,1.0,0.908,0.38363800000000003,0.34644466444004346,0.0133,40
aMEM_10pct-L_3s 2,aMEM_10pct-L_3s,lambda,medium,35 ug/mL,2.0,0.911,0.38526725,0.34783618264768,0.018,40
aMEM_10pct-L_3s 3,aMEM_10pct-L_3s,lambda,medium,35 ug/mL,3.0,0.724,0.5424,0.13117181269024394,173.0,10
aMEM_10pct-L_3s-mean,aMEM_10pct-L_3s-mean,lambda,medium,35 ug/mL,,0.908,0.38363800000000003,0.34644466444004346,0.0133,40
aMEM_10pct-i_2s 1,aMEM_10pct-i_2s,iota,medium,20 ug/mL,1.0,0.895,0.36097725,0.33852550682968463,0.0258,40
aMEM_10pct-i_2s 2,aMEM_10pct-i_2s,iota,medium,20 ug/mL,2.0,0.895,0.3563775,0.3375662195150638,1.5,40
