sample_base,carrageenan,matrix,point_index,x_mean,y_mean,y_std,n
L_3S-1mg_mL,lambda,water,1,0.5563333333333333,0.17866666666666667,0.021361959960016157,3
L_3S-1mg_mL,lambda,water,2,0.5113333333333333,0.14133333333333334,0.020305992547357384,3
L_3S-1mg_mL,lambda,water,3,0.4563333333333333,0.10046666666666666,0.017951415914443443,3
L_3S-1mg_mL,lambda,water,4,0.4043333333333334,0.06456666666666667,0.014800788267296222,3
L_3S-1mg_mL,lambda,water,5,0.3546666666666667,0.04176666666666667,0.011472721269748227,3
L_3S-1mg_mL,lambda,water,6,0.3026666666666667,0.32006666666666667,0.5100453836016294,3
L_3S-1mg_mL,lambda,water,7,0.25966666666666666,0.3098633333333333,0.517140223762698,3
L_3S-1mg_mL,lambda,water,8,0.22866666666666666,0.3057,0.5207424349906583,3
L_3S-1mg_mL,lambda,water,9,0.20266666666666666,0.3033533333333333,0.5227735250883822,3
L_3S-1mg_mL,lambda,water,10,0.16920000000000002,0.9246666666666666,0.018583146486355163,3
L_3S-1mg_mL,lambda,water,11,0.6346666666666666,0.9253333333333332,0.018903262505010385,3
L_3S-1mg_mL,lambda,water,12,0.7743333333333333,0.9226666666666666,0.018583146486355163,3
L_3S-1mg_mL,lambda,water,13,0.9446666666666667,0.922,0.01969771560359222,3
L_3S-1mg_mL,lambda,water,14,1.282,0.9213333333333334,0.019857828011475377,3
L_3S-1mg_mL,lambda,water,15,1.6056666666666668,0.9196666666666667,0.020984120980716153,3
L_3S-1mg_mL,lambda,water,16,1.9293333333333333,0.9183333333333333,0.020599352740640505,3
L_3S-1mg_mL,lambda,water,17,2.5738,0.9170000000000001,0.02211334438749598,3
L_3S-1mg_mL,lambda,water,18,3.2266999999999997,0.9143333333333334,0.02230097157823698,3
L_3S-1mg_mL,lambda,water,19,4.833333333333333,0.912,0.023811761799581315,3
L_3S-1mg_mL,lambda,water,20,6.166666666666667,0.9096666666666667,0.023437861108329298,3
L_3S-1mg_mL,lambda,water,21,7.833333333333333,0.9066666666666667,0.026083200212652816,3
L_3S-1mg_mL,lambda,water,22,9.833333333333334,0.9036666666666667,0.027024680078279104,3
L_3S-1mg_mL,lambda,water,23,12.5,0.899,0.02816025568065747,3
L_3S-1mg_mL,lambda,water,24,15.833333333333334,0.8943333333333333,0.031005375877955973,3
L_3S-1mg_mL,lambda,water,25,19.833333333333332,0.8889999999999999,0.033286633954186504,3
L_3S-1mg_mL,lambda,water,26,25.166666666666668,0.883,0.03593048844644337,3
L_3S-1mg_mL,lambda,water,27,30.5,0.8763333333333333,0.039576929306520674,3
L_3S-1mg_mL,lambda,water,28,37.833333333333336,0.8673333333333333,0.043015501081974335,3
L_3S-1mg_mL,lambda,water,29,48.666666666666664,0.858,0.04543126676640215,3
L_3S-1mg_mL,lambda,water,30,62.0,0.8473333333333333,0.050816663933530064,3
L_3S-1mg_mL,lambda,water,31,76.66666666666667,0.8336666666666667,0.0563234705370091,3
L_3S-1mg_mL,lambda,water,32,98.0,0.8203333333333332,0.0595343038368077,3
L_3S-1mg_mL,lambda,water,33,124.66666666666667,0.8043333333333332,0.06733745861950342,3
L_3S-1mg_mL,lambda,water,34,154.0,0.7843333333333332,0.07595612768785238,3
L_3S-1mg_mL,lambda,water,35,194.0,0.7633333333333333,0.08031396723692166,3
L_3S-1mg_mL,lambda,water,36,247.33333333333334,0.7400000000000001,0.09124143795447327,3
L_3S-1mg_mL,lambda,water,37,306.3333333333333,0.71,0.1033295698239377,3
L_3S-1mg_mL,lambda,water,38,391.6666666666667,0.6779999999999999,0.11024064586167845,3
L_3S-1mg_mL,lambda,water,39,498.6666666666667,0.6433333333333333,0.12522113772575832,3
L_3S-1mg_mL,lambda,water,40,614.0,0.6006666666666667,0.13412804827228844,3
L_3S-1mg_mL-mean,lambda,water,1,0.637,0.191,,1
L_3S-1mg_mL-mean,lambda,water,2,0.594,0.155,,1
L_3S-1mg_mL-mean,lambda,water,3,0.535,0.115,,1
L_3S-1mg_mL-mean,lambda,water,4,0.472,0.078,,1
L_3S-1mg_mL-mean,lambda,water,5,0.42,0.0528,,1
L_3S-1mg_mL-mean,lambda,water,6,0.365,0.0294,,1
L_3S-1mg_mL-mean,lambda,water,7,0.315,0.0135,,1
L_3S-1mg_mL-mean,lambda,water,8,0.285,0.00624,,1
L_3S-1mg_mL-mean,lambda,water,9,0.262,0.00196,,1
L_3S-1mg_mL-mean,lambda,water,10,0.249,0.94,,1
L_3S-1mg_mL-mean,lambda,water,11,0.229,0.94,,1
L_3S-1mg_mL-mean,lambda,water,12,0.193,0.938,,1
L_3S-1mg_mL-mean,lambda,water,13,0.2,0.938,,1
L_3S-1mg_mL-mean,lambda,water,14,0.227,0.937,,1
L_3S-1mg_mL-mean,lambda,water,15,0.209,0.936,,1
L_3S-1mg_mL-mean,lambda,water,16,0.179,0.934,,1
L_3S-1mg_mL-mean,lambda,water,17,0.134,0.934,,1
L_3S-1mg_mL-mean,lambda,water,18,0.083,0.931,,1
L_3S-1mg_mL-mean,lambda,water,19,1.5,0.93,,1
L_3S-1mg_mL-mean,lambda,water,20,2.0,0.927,,1
L_3S-1mg_mL-mean,lambda,water,21,2.5,0.926,,1
L_3S-1mg_mL-mean,lambda,water,22,3.5,0.924,,1
L_3S-1mg_mL-mean,lambda,water,23,4.5,0.92,,1
L_3S-1mg_mL-mean,lambda,water,24,5.5,0.917,,1
L_3S-1mg_mL-mean,lambda,water,25,7.5,0.913,,1
L_3S-1mg_mL-mean,lambda,water,26,9.5,0.909,,1
L_3S-1mg_mL-mean,lambda,water,27,11.5,0.904,,1
L_3S-1mg_mL-mean,lambda,water,28,14.5,0.897,,1
L_3S-1mg_mL-mean,lambda,water,29,18.5,0.89,,1
L_3S-1mg_mL-mean,lambda,water,30,22.5,0.882,,1
L_3S-1mg_mL-mean,lambda,water,31,28.5,0.872,,1
L_3S-1mg_mL-mean,lambda,water,32,36.5,0.861,,1
L_3S-1mg_mL-mean,lambda,water,33,44.5,0.85,,1
L_3S-1mg_mL-mean,lambda,water,34,56.5,0.835,,1
L_3S-1mg_mL-mean,lambda,water,35,68.5,0.817,,1
L_3S-1mg_mL-mean,lambda,water,36,84.5,0.8,,1
L_3S-1mg_mL-mean,lambda,water,37,109.0,0.777,,1
L_3S-1mg_mL-mean,lambda,water,38,141.0,0.749,,1
L_3S-1mg_mL-mean,lambda,water,39,173.0,0.723,,1
L_3S-1mg_mL-mean,lambda,water,40,221.0,0.685,,1
L_3S-35ug_mL,lambda,water,1,0.36833333333333335,0.1471,0.09205177890730847,3
L_3S-35ug_mL,lambda,water,2,0.333,0.12103333333333334,0.07704481379906977,3
L_3S-35ug_mL,lambda,water,3,0.29733333333333334,0.09043333333333332,0.058805300214634836,3
L_3S-35ug_mL,lambda,water,4,0.27799999999999997,0.0614,0.04096986697562002,3
L_3S-35ug_mL,lambda,water,5,0.27366666666666667,0.041666666666666664,0.028419066369839343,3
L_3S-35ug_mL,lambda,water,6,0.27133333333333337,0.023363333333333333,0.016383346219052245,3
L_3S-35ug_mL,lambda,water,7,0.25266666666666665,0.010833333333333334,0.007853771917577777,3
L_3S-35ug_mL,lambda,water,8,0.24333333333333332,0.005033333333333333,0.0037568115914074435,3
L_3S-35ug_mL,lambda,water,9,0.23866666666666667,0.001601,0.0012346307140193781,3
L_3S-35ug_mL,lambda,water,10,0.23099999999999998,0.7353333333333333,0.0660025252042172,3
L_3S-35ug_mL,lambda,water,11,0.22733333333333336,0.7373333333333334,0.07000238091188989,3
L_3S-35ug_mL,lambda,water,12,0.21466666666666667,0.7336666666666667,0.06800980321492875,3
L_3S-35ug_mL,lambda,water,13,0.2008333333333333,0.7353333333333333,0.07050059101407112,3
L_3S-35ug_mL,lambda,water,14,0.19223333333333334,0.7333333333333334,0.07000238091188989,3
L_3S-35ug_mL,lambda,water,15,0.18113333333333334,0.7316666666666668,0.067515430335097,3
L_3S-35ug_mL,lambda,water,16,0.14363333333333334,0.7296666666666667,0.07100938905055681,3
L_3S-35ug_mL,lambda,water,17,0.11803333333333332,0.7290000000000001,0.06950539547402064,3
L_3S-35ug_mL,lambda,water,18,0.06343333333333333,0.727,0.07250517222929685,3
L_3S-35ug_mL,lambda,water,19,1.5,0.7233333333333333,0.07051477386571793,3
L_3S-35ug_mL,lambda,water,20,2.0,0.7203333333333334,0.07050059101407123,3
L_3S-35ug_mL,lambda,water,21,2.5,0.7183333333333334,0.07150058274820797,3
L_3S-35ug_mL,lambda,water,22,3.5,0.715,0.07002142529254891,3
L_3S-35ug_mL,lambda,water,23,4.5,0.711,0.07002142529254891,3
L_3S-35ug_mL,lambda,water,24,5.5,0.7066666666666667,0.07151456728061308,3
L_3S-35ug_mL,lambda,water,25,7.5,0.7003333333333334,0.0720578471322405,3
L_3S-35ug_mL,lambda,water,26,9.5,0.6953333333333332,0.07205784713224041,3
L_3S-35ug_mL,lambda,water,27,11.5,0.6893333333333334,0.07205784713224046,3
L_3S-35ug_mL,lambda,water,28,14.5,0.68,0.0726291952316698,3
L_3S-35ug_mL,lambda,water,29,18.5,0.6693333333333333,0.0745944591329231,3
L_3S-35ug_mL,lambda,water,30,22.5,0.6593333333333333,0.0741440040281973,3
L_3S-35ug_mL,lambda,water,31,28.5,0.646,0.07574298647399634,3
L_3S-35ug_mL,lambda,water,32,36.5,0.6296666666666667,0.07621898276238878,3
L_3S-35ug_mL,lambda,water,33,44.5,0.6143333333333333,0.07783529619223746,3
L_3S-35ug_mL,lambda,water,34,56.5,0.5953333333333334,0.0790084383678942,3
L_3S-35ug_mL,lambda,water,35,68.5,0.5720000000000001,0.08067217612039478,3
L_3S-35ug_mL,lambda,water,36,84.5,0.5506666666666667,0.08235492294534276,3
L_3S-35ug_mL,lambda,water,37,109.0,0.5213333333333333,0.08567574530363498,3
L_3S-35ug_mL,lambda,water,38,141.0,0.48666666666666664,0.08980163324424188,3
L_3S-35ug_mL,lambda,water,39,173.0,0.45533333333333337,0.09487008660970718,3
L_3S-35ug_mL,lambda,water,40,221.0,0.414,0.10262066068779718,3
L_3S-35ug_mL-mean,lambda,water,1,0.494,0.245,,1
L_3S-35ug_mL-mean,lambda,water,2,0.468,0.203,,1
L_3S-35ug_mL-mean,lambda,water,3,0.441,0.153,,1
L_3S-35ug_mL-mean,lambda,water,4,0.421,0.105,,1
L_3S-35ug_mL-mean,lambda,water,5,0.409,0.0719,,1
L_3S-35ug_mL-mean,lambda,water,6,0.402,0.0408,,1
L_3S-35ug_mL-mean,lambda,water,7,0.396,0.0192,,1
L_3S-35ug_mL-mean,lambda,water,8,0.391,0.00904,,1
L_3S-35ug_mL-mean,lambda,water,9,0.391,0.00292,,1
L_3S-35ug_mL-mean,lambda,water,10,0.379,0.801,,1
L_3S-35ug_mL-mean,lambda,water,11,0.373,0.807,,1
L_3S-35ug_mL-mean,lambda,water,12,0.357,0.801,,1
L_3S-35ug_mL-mean,lambda,water,13,0.349,0.806,,1
L_3S-35ug_mL-mean,lambda,water,14,0.315,0.803,,1
L_3S-35ug_mL-mean,lambda,water,15,0.278,0.8,,1
L_3S-35ug_mL-mean,lambda,water,16,0.231,0.8,,1
L_3S-35ug_mL-mean,lambda,water,17,0.174,0.799,,1
L_3S-35ug_mL-mean,lambda,water,18,0.0796,0.8,,1
L_3S-35ug_mL-mean,lambda,water,19,1.5,0.793,,1
L_3S-35ug_mL-mean,lambda,water,20,2.0,0.791,,1
L_3S-35ug_mL-mean,lambda,water,21,2.5,0.79,,1
L_3S-35ug_mL-mean,lambda,water,22,3.5,0.786,,1
L_3S-35ug_mL-mean,lambda,water,23,4.5,0.782,,1
L_3S-35ug_mL-mean,lambda,water,24,5.5,0.779,,1
L_3S-35ug_mL-mean,lambda,water,25,7.5,0.774,,1
L_3S-35ug_mL-mean,lambda,water,26,9.5,0.769,,1
L_3S-35ug_mL-mean,lambda,water,27,11.5,0.763,,1
L_3S-35ug_mL-mean,lambda,water,28,14.5,0.755,,1
L_3S-35ug_mL-mean,lambda,water,29,18.5,0.746,,1
L_3S-35ug_mL-mean,lambda,water,30,22.5,0.736,,1
L_3S-35ug_mL-mean,lambda,water,31,28.5,0.725,,1
L_3S-35ug_mL-mean,lambda,water,32,36.5,0.709,,1
L_3S-35ug_mL-mean,lambda,water,33,44.5,0.696,,1
L_3S-35ug_mL-mean,lambda,water,34,56.5,0.679,,1
L_3S-35ug_mL-mean,lambda,water,35,68.5,0.658,,1
L_3S-35ug_mL-mean,lambda,water,36,84.5,0.639,,1
L_3S-35ug_mL-mean,lambda,water,37,109.0,0.614,,1
L_3S-35ug_mL-mean,lambda,water,38,141.0,0.585,,1
L_3S-35ug_mL-mean,lambda,water,39,173.0,0.56,,1
L_3S-35ug_mL-mean,lambda,water,40,221.0,0.528,,1
aMEM-Ctrl,,medium,1,0.389,0.18296666666666664,0.1501552640879877,3
aMEM-Ctrl,,medium,2,0.38166666666666665,0.15096666666666667,0.1250292099204555,3
aMEM-Ctrl,,medium,3,0.37233333333333335,0.11286666666666667,0.09476377648307044,3
aMEM-Ctrl,,medium,4,0.35966666666666663,0.07666666666666666,0.06543961593204328,3
aMEM-Ctrl,,medium,5,0.3516666666666666,0.05243333333333333,0.0456782588693279,3
aMEM-Ctrl,,medium,6,0.33966666666666673,0.029366666666666666,0.02610676796030741,3
aMEM-Ctrl,,medium,7,0.329,0.013666666666666667,0.012467114073968093,3
aMEM-Ctrl,,medium,8,0.31266666666666665,0.006370000000000001,0.005942836023314122,3
aMEM-Ctrl,,medium,9,0.3016666666666667,0.0020250000000000003,0.0019370015487861646,3
aMEM-Ctrl,,medium,10,0.29,0.6803333333333333,0.20574822801991108,3
aMEM-Ctrl,,medium,11,0.278,0.6763333333333333,0.20829386292767565,3
aMEM-Ctrl,,medium,12,0.25766666666666665,0.676,0.21034970881843415,3
aMEM-Ctrl,,medium,13,0.23966666666666667,0.6706666666666666,0.21068064299629743,3
aMEM-Ctrl,,medium,14,0.22866666666666666,0.6683333333333333,0.21166561679529663,3
aMEM-Ctrl,,medium,15,0.20386666666666667,0.665,0.20846102753272613,3
aMEM-Ctrl,,medium,16,0.16796666666666668,0.664,0.21101421753047825,3
aMEM-Ctrl,,medium,17,0.14423333333333335,0.6613333333333333,0.21084196293274574,3
aMEM-Ctrl,,medium,18,0.09186666666666667,0.6603333333333333,0.21151910867184867,3
aMEM-Ctrl,,medium,19,1.5,0.6593333333333334,0.2115900123666836,3
aMEM-Ctrl,,medium,20,2.0,0.6563333333333333,0.21151910867184867,3
aMEM-Ctrl,,medium,21,2.5,0.6556666666666667,0.21216581565684264,3
aMEM-Ctrl,,medium,22,3.5,0.654,0.21281682264332394,3
aMEM-Ctrl,,medium,23,4.5,0.651,0.2119150773305193,3
aMEM-Ctrl,,medium,24,5.5,0.6473333333333334,0.21151910867184867,3
aMEM-Ctrl,,medium,25,7.5,0.6436666666666667,0.21292565212611964,3
aMEM-Ctrl,,medium,26,9.5,0.6393333333333334,0.21324711799537482,3
aMEM-Ctrl,,medium,27,11.5,0.6353333333333334,0.21407786745325477,3
aMEM-Ctrl,,medium,28,14.5,0.6283333333333333,0.21484955976993142,3
aMEM-Ctrl,,medium,29,18.5,0.6193333333333334,0.21563240325455113,3
aMEM-Ctrl,,medium,30,22.5,0.611,0.21673716801693244,3
aMEM-Ctrl,,medium,31,28.5,0.5996666666666667,0.21873347556634612,3
aMEM-Ctrl,,medium,32,36.5,0.586,0.22266342313006862,3
aMEM-Ctrl,,medium,33,44.5,0.5726666666666667,0.22548244573210863,3
aMEM-Ctrl,,medium,34,56.5,0.5543333333333332,0.23007462557468897,3
aMEM-Ctrl,,medium,35,68.5,0.532,0.23651427018258325,3
aMEM-Ctrl,,medium,36,84.5,0.512,0.2437273066359205,3
aMEM-Ctrl,,medium,37,109.0,0.48466666666666663,0.25407938392032786,3
aMEM-Ctrl,,medium,38,141.0,0.45366666666666666,0.2645171702051368,3
aMEM-Ctrl,,medium,39,173.0,0.4303333333333333,0.27382537014187225,3
aMEM-Ctrl,,medium,40,221.0,0.40599999999999997,0.27874719729532704,3
aMEM-Ctrl-mean,,medium,1,0.708,0.356,,1
aMEM-Ctrl-mean,,medium,2,0.697,0.295,,1
aMEM-Ctrl-mean,,medium,3,0.686,0.222,,1
aMEM-Ctrl-mean,,medium,4,0.673,0.152,,1
aMEM-Ctrl-mean,,medium,5,0.662,0.105,,1
aMEM-Ctrl-mean,,medium,6,0.647,0.0594,,1
aMEM-Ctrl-mean,,medium,7,0.628,0.028,,1
aMEM-Ctrl-mean,,medium,8,0.606,0.0132,,1
aMEM-Ctrl-mean,,medium,9,0.591,0.00425,,1
aMEM-Ctrl-mean,,medium,10,0.563,0.917,,1
aMEM-Ctrl-mean,,medium,11,0.535,0.916,,1
aMEM-Ctrl-mean,,medium,12,0.49,0.918,,1
aMEM-Ctrl-mean,,medium,13,0.45,0.913,,1
aMEM-Ctrl-mean,,medium,14,0.432,0.912,,1
aMEM-Ctrl-mean,,medium,15,0.388,0.905,,1
aMEM-Ctrl-mean,,medium,16,0.309,0.907,,1
aMEM-Ctrl-mean,,medium,17,0.257,0.904,,1
aMEM-Ctrl-mean,,medium,18,0.185,0.904,,1
aMEM-Ctrl-mean,,medium,19,1.5,0.903,,1
aMEM-Ctrl-mean,,medium,20,2.0,0.9,,1
aMEM-Ctrl-mean,,medium,21,2.5,0.9,,1
aMEM-Ctrl-mean,,medium,22,3.5,0.899,,1
aMEM-Ctrl-mean,,medium,23,4.5,0.895,,1
aMEM-Ctrl-mean,,medium,24,5.5,0.891,,1
aMEM-Ctrl-mean,,medium,25,7.5,0.889,,1
aMEM-Ctrl-mean,,medium,26,9.5,0.885,,1
aMEM-Ctrl-mean,,medium,27,11.5,0.882,,1
aMEM-Ctrl-mean,,medium,28,14.5,0.876,,1
aMEM-Ctrl-mean,,medium,29,18.5,0.868,,1
aMEM-Ctrl-mean,,medium,30,22.5,0.861,,1
aMEM-Ctrl-mean,,medium,31,28.5,0.852,,1
aMEM-Ctrl-mean,,medium,32,36.5,0.843,,1
aMEM-Ctrl-mean,,medium,33,44.5,0.833,,1
aMEM-Ctrl-mean,,medium,34,56.5,0.82,,1
aMEM-Ctrl-mean,,medium,35,68.5,0.805,,1
aMEM-Ctrl-mean,,medium,36,84.5,0.793,,1
aMEM-Ctrl-mean,,medium,37,109.0,0.777,,1
aMEM-Ctrl-mean,,medium,38,141.0,0.757,,1
aMEM-Ctrl-mean,,medium,39,173.0,0.744,,1
aMEM-Ctrl-mean,,medium,40,221.0,0.726,,1
aMEM_10pct-Ctrl,,medium,1,2.52,0.2762833333333333,0.46914164964681326,3
aMEM_10pct-Ctrl,,medium,2,3.1805333333333334,0.2702233333333333,0.461398621620539,3
aMEM_10pct-Ctrl,,medium,3,3.8462666666666667,0.26455666666666666,0.454181380544528,3
aMEM_10pct-Ctrl,,medium,4,4.849933333333333,0.25350666666666666,0.43690406845591784,3
aMEM_10pct-Ctrl,,medium,5,6.182133333333333,0.244464,0.4222185665754172,3
aMEM_10pct-Ctrl,,medium,6,7.5174666666666665,0.5217736666666667,0.45769521810953334,3
aMEM_10pct-Ctrl,,medium,7,9.513933333333332,0.5073693333333333,0.44802850938454053,3
aMEM_10pct-Ctrl,,medium,8,12.1823,0.7756666666666666,0.12637378420120743,3
aMEM_10pct-Ctrl,,medium,9,14.844666666666667,0.7546666666666666,0.13957554704651287,3
aMEM_10pct-Ctrl,,medium,10,18.8457,0.73,0.15923881436383527,3
aMEM_10pct-Ctrl,,medium,11,23.3398,0.7013333333333334,0.1801813900860278,3
aMEM_10pct-Ctrl,,medium,12,28.839433333333332,0.673,0.19431675172254195,3
aMEM_10pct-Ctrl,,medium,13,37.17203333333333,0.641,0.21223336212763533,3
