sample_base,carrageenan,concentration_label,matrix,n_replicates,zavg_mean,zavg_std,pdi_mean,pdi_std,count_rate_mean
L_3S-1mg_mL,lambda,1 mg/mL,water,3,1941.6666666666667,321.02544032106454,0.8286666666666666,0.1800564726227117,148.70000000000002
L_3S-35ug_mL,lambda,35 ug/mL,water,2,1126.05,398.7375139110941,0.688,0.1994041122946063,52.15
aMEM-Ctrl,,,medium,1,895.3,,0.559,,63.6
aMEM_10pct-Ctrl,,,medium,3,24.02333333333333,0.5828664798505172,0.47433333333333333,0.021939310229205783,136.2
aMEM_10pct-L_3s,lambda,35 ug/mL,medium,3,35.36666666666667,0.1715614564327681,0.5553333333333333,0.005507570547286077,168.1
aMEM_10pct-i_2s,iota,20 ug/mL,medium,3,28.24,0.48754486972995653,0.5086666666666667,0.008020806277010595,145.0666666666667
aMEM_10pct-k_1s,kappa,100 ug/mL,medium,3,28.926666666666666,1.0200163397384028,0.5003333333333333,0.027610384519838455,143.86666666666667
i_2S-1mg_mL,iota,1 mg/mL,water,3,1002.7333333333332,226.7607623318756,0.5923333333333334,0.1491319326413137,326.1666666666667
i_2S-20ug_mL,iota,20 ug/mL,water,1,870.1,,0.415,,164.6
k_1s-100ug_mL,kappa,100 ug/mL,water,3,1369.6666666666667,265.6733583431605,0.6609999999999999,0.08051707893360266,289.1333333333333
k_1s-1mg_mL,kappa,1 mg/mL,water,3,1053.3,96.20639271898723,0.328,0.1513968295572929,205.6
