Sample_Name,sample_base,matrix,carrageenan,concentration_label,replicate,corr_n_points,corr_tau50_s,corr_tau20_s,corr_auc_logx,corr_initial_slope_logx,corr_y_start,corr_y_end,dist_n_points,dist_peak_x,dist_auc_logx,dist_width_halfmax_logx,dist_centroid_x,dist_signal_raw_max,dist_signal_raw_min,Z_Average_d_nm,PdI,Mean_Count_Rate_kcps,Intercept,Quality_Factor
L_3S-1mg_mL 1,L_3S-1mg_mL,water,lambda,1 mg/mL,1.0,192,2032.2849861922296,5822.765857798588,3.520641071829402,-0.004233399745838297,0.892,0.0,40.0,0.229,2.7250429519984456,3.4253141813090364,4.0926097140113695,0.94,0.00196,2225.0,0.641,150.7,0.941,0.0
L_3S-1mg_mL 2,L_3S-1mg_mL,water,lambda,1 mg/mL,2.0,192,2132.6795287159334,8076.700661846723,3.5887387346932487,-0.004650357299351221,0.908,0.0,40.0,0.175,2.6042315207920033,3.402880841050708,3.627080909188777,0.932,0.0011,2007.0,0.845,150.9,0.933,0.0
L_3S-1mg_mL 3,L_3S-1mg_mL,water,lambda,1 mg/mL,3.0,192,1758.7841546584602,5857.663020917024,3.4402998722118463,-0.0042661505107259795,0.833,0.0,40.0,0.143,3.2738093591865827,4.176469070721008,13.7932802744794,0.909,0.0299,1593.0,1.0,144.5,0.91,0.0
L_3S-1mg_mL-mean,,,,,,192,2032.2849861922296,5822.765857798588,3.520641071829402,-0.004233399745838297,0.892,0.0,40.0,0.229,2.7250429519984456,3.4253141813090364,4.0926097140113695,0.94,0.00196,,,,,
L_3S-35ug_mL 1,L_3S-35ug_mL,water,lambda,35 ug/mL,1.0,192,1373.3728261534552,38814.13943070888,3.568301913077366,-0.013397941051790797,0.666,0.0,39.0,0.373,2.928911262875236,3.4434792059474413,4.159317195679398,0.807,0.005979999999999999,1408.0,0.829,53.0,0.806,0.0
L_3S-35ug_mL 2,L_3S-35ug_mL,water,lambda,35 ug/mL,2.0,192,921.252489342798,3442.3550039214147,3.3552295211112684,-0.016328461575876325,0.583,0.0,39.0,0.199,2.641228303490089,3.434301728091042,3.7430469423411714,0.738,0.00141,947.4,0.516,48.5,0.741,0.0
L_3S-35ug_mL 3,L_3S-35ug_mL,water,lambda,35 ug/mL,3.0,192,796.3573318554934,2388.957984690659,3.191251491558812,-0.020311551824084728,0.471,0.0,39.0,0.11,2.820820346755528,3.7696987727166382,2.9426676028211896,0.668,0.000473,844.1,0.547,51.3,0.668,0.0
L_3S-35ug_mL-mean,,,,,,192,1373.3728261534552,38814.13943070888,3.568301913077366,-0.013397941051790797,0.666,0.0,39.0,0.373,2.928911262875236,3.4434792059474413,4.159317195679398,0.807,0.005979999999999999,,,,,
aMEM-Ctrl 1,aMEM-Ctrl,medium,,,1.0,192,9168.515536516436,63896.93266406856,4.028026398382868,-0.046865069246040746,0.893,0.0,40.0,0.49,2.724454301585665,3.077220545282097,5.04842083317857,0.918,0.00425,3255.0,1.0,38.3,0.924,0.0
aMEM-Ctrl 2,aMEM-Ctrl,medium,,,2.0,192,542.5184872926591,1618.230501011975,3.1414085765830664,-0.1005996822931445,0.358,0.0,40.0,0.171,2.5552571360157335,3.2120003801728005,2.7610168287092742,0.58,0.00111,635.7,0.466,45.3,0.578,0.0
aMEM-Ctrl 3,aMEM-Ctrl,medium,,,3.0,192,876.5510752131041,4666.1580928395015,3.349639572508852,-0.08050687631556491,0.329,0.0,40.0,0.136,3.009736627582489,3.9696439276750066,2.7872594754110382,0.544,0.000715,895.3,0.559,63.6,0.54,0.0
