Measurement_Date_and_Time,Sample_Name,sample_base,carrageenan_code,carrageenan,concentration_value,concentration_unit,concentration_label,matrix,replicate,Z_Average_d_nm,PdI,PdI_Width_d_nm,Mean_Count_Rate_kcps,Intercept,Intensity_Mean_d_nm,Size_Peak_d_nm,Size_Peak_By_Size_d_nm,Derived_Count_Rate_kcps,Measured_Intercept,Measured_Size_Baseline,Quality_Factor,flag_low_count_rate,flag_low_intercept,flag_high_pdi,flag_bad_signal
"sexta-feira, 17 de abril de 2026 14:44:45",k_1s-100ug_mL 1,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,1,1530.0,0.69,1271.0,286.7,0.305,2662.0,2979.0,28.56,1020.2,0.096,0.00373,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 14:46:49",k_1s-100ug_mL 2,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,2,1516.0,0.57,1145.0,311.0,0.287,2536.0,2712.0,143.6,1106.9,0.088,0.00572,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 14:48:52",k_1s-100ug_mL 3,k_1s-100ug_mL,k,kappa,100.0,ug/mL,100 ug/mL,water,3,1063.0,0.723,903.6,269.7,0.276,2093.0,2253.0,23.76,959.9,0.079,0.00163,0.0,False,False,True,False
"sexta-feira, 17 de abril de 2026 15:41:24",k_1s-1mg_mL 1,k_1s-1mg_mL,k,kappa,1.0,mg/mL,1 mg/mL,water,1,1164.0,0.488,813.4,207.0,0.915,939.8,1003.0,50.38,736.7,0.841,0.0051,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 15:43:57",k_1s-1mg_mL 2,k_1s-1mg_mL,k,kappa,1.0,mg/mL,1 mg/mL,water,2,1006.0,0.309,559.1,201.8,0.907,1122.0,1122.0,1122.0,718.1,0.831,0.00831,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 15:46:30",k_1s-1mg_mL 3,k_1s-1mg_mL,k,kappa,1.0,mg/mL,1 mg/mL,water,3,989.9,0.187,428.4,208.0,0.887,1071.0,1071.0,1071.0,740.1,0.804,0.0186,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:03:03",aMEM_10pct-Ctrl 1,aMEM_10pct-Ctrl,,,,,,medium,1,24.69,0.449,16.54,136.2,0.881,133.8,75.98,6.43,3096.2,0.774,0.000191,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:05:56",aMEM_10pct-Ctrl 2,aMEM_10pct-Ctrl,,,,,,medium,2,23.61,0.487,16.48,136.7,0.877,202.1,52.33,9.553,3107.4,0.768,0.000103,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:08:48",aMEM_10pct-Ctrl 3,aMEM_10pct-Ctrl,,,,,,medium,3,23.77,0.487,16.58,135.7,0.877,114.0,73.76,13.41,3083.4,0.768,0.00039,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:27:10",aMEM_10pct-k_1s 1,aMEM_10pct-k_1s,k,kappa,100.0,ug/mL,100 ug/mL,medium,1,29.65,0.524,21.47,144.7,0.882,217.1,64.43,10.53,3287.8,0.777,0.000186,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:30:02",aMEM_10pct-k_1s 2,aMEM_10pct-k_1s,k,kappa,100.0,ug/mL,100 ug/mL,medium,2,29.37,0.47,20.14,144.4,0.885,214.9,72.5,8.943,3282.9,0.781,0.000278,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 16:32:55",aMEM_10pct-k_1s 3,aMEM_10pct-k_1s,k,kappa,100.0,ug/mL,100 ug/mL,medium,3,27.76,0.507,19.77,142.5,0.878,158.6,64.18,64.18,3238.1,0.77,0.00025,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 17:03:44",aMEM-Ctrl 3,aMEM-Ctrl,,,,,,medium,3,895.3,0.559,669.2,63.6,0.54,612.0,612.0,612.0,63.6,0.329,0.0332,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 17:36:12",i_2S-20ug_mL 3,i_2S-20ug_mL,i,iota,20.0,ug/mL,20 ug/mL,water,3,870.1,0.415,560.7,164.6,0.517,585.0,585.0,585.0,164.6,0.3,0.0332,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 17:54:56",L_3S-35ug_mL 1,L_3S-35ug_mL,l,lambda,35.0,ug/mL,35 ug/mL,water,1,1408.0,0.829,1282.0,53.0,0.806,306.6,329.2,14.54,53.0,0.662,0.016,0.0,False,False,True,False
"sexta-feira, 17 de abril de 2026 18:03:03",L_3S-35ug_mL 3,L_3S-35ug_mL,l,lambda,35.0,ug/mL,35 ug/mL,water,3,844.1,0.547,624.1,51.3,0.668,844.5,915.1,50.28,51.3,0.471,0.0234,0.0,False,False,False,False
"sexta-feira, 17 de abril de 2026 18:15:05",i_2S-1mg_mL 1,i_2S-1mg_mL,i,iota,1.0,mg/mL,1 mg/mL,water,1,1260.0,0.762,1099.0,345.4,0.982,362.6,392.3,21.91,345.4,0.988,0.0232,0.0,False,False,True,False
"sexta-feira, 17 de abril de 2026 18:17:07",i_2S-1mg_mL 2,i_2S-1mg_mL,i,iota,1.0,mg/mL,1 mg/mL,water,2,916.3,0.533,669.0,320.6,0.924,524.8,570.4,39.98,320.6,0.878,0.0244,0.0,False,False,False,False
